Número de documentos(preguntas) del corpus : 990
Número de palabras del corpus: 5679
Palabra: 0 Frec: 1 LogProb: -13.003957048580775
Palabra: 00 Frec: 0 LogProb: -14.003957048580775
Palabra: 000 Frec: 0 LogProb: -14.003957048580775
Palabra: 0000 Frec: 0 LogProb: -14.003957048580775
Palabra: 00237 Frec: 0 LogProb: -14.003957048580775
Palabra: 004 Frec: 0 LogProb: -14.003957048580775
Palabra: 00600 Frec: 0 LogProb: -14.003957048580775
Palabra: 009 Frec: 0 LogProb: -14.003957048580775
Palabra: 00936 Frec: 0 LogProb: -14.003957048580775
Palabra: 01 Frec: 0 LogProb: -14.003957048580775
Palabra: 01031 Frec: 0 LogProb: -14.003957048580775
Palabra: 01654 Frec: 0 LogProb: -14.003957048580775
Palabra: 01722 Frec: 0 LogProb: -14.003957048580775
Palabra: 01775 Frec: 0 LogProb: -14.003957048580775
Palabra: 01830 Frec: 0 LogProb: -14.003957048580775
Palabra: 02 Frec: 0 LogProb: -14.003957048580775
Palabra: 02287e Frec: 0 LogProb: -14.003957048580775
Palabra: 03 Frec: 0 LogProb: -14.003957048580775
Palabra: 04 Frec: 0 LogProb: -14.003957048580775
Palabra: 047 Frec: 0 LogProb: -14.003957048580775
Palabra: 05 Frec: 0 LogProb: -14.003957048580775
Palabra: 07 Frec: 0 LogProb: -14.003957048580775
Palabra: 08 Frec: 0 LogProb: -14.003957048580775
Palabra: 08177 Frec: 0 LogProb: -14.003957048580775
Palabra: 09 Frec: 0 LogProb: -14.003957048580775
Palabra: 0b Frec: 0 LogProb: -14.003957048580775
Palabra: 0kb Frec: 0 LogProb: -14.003957048580775
Palabra: 0m4 Frec: 0 LogProb: -14.003957048580775
Palabra: 0s Frec: 0 LogProb: -14.003957048580775
Palabra: 0x123456789 Frec: 0 LogProb: -14.003957048580775
Palabra: 0x18a15e0 Frec: 0 LogProb: -14.003957048580775
Palabra: 0x80000022 Frec: 0 LogProb: -14.003957048580775
Palabra: 0x80004005 Frec: 0 LogProb: -14.003957048580775
Palabra: 0x8004d024 Frec: 0 LogProb: -14.003957048580775
Palabra: 0x800a03ec Frec: 0 LogProb: -14.003957048580775
Palabra: 1 Frec: 6 LogProb: -11.196602126523171
Palabra: 10 Frec: 2 LogProb: -12.418994547859617
Palabra: 100 Frec: 0 LogProb: -14.003957048580775
Palabra: 1000 Frec: 1 LogProb: -13.003957048580775
Palabra: 1004 Frec: 0 LogProb: -14.003957048580775
Palabra: 1022868890 Frec: 0 LogProb: -14.003957048580775
Palabra: 1024hls Frec: 0 LogProb: -14.003957048580775
Palabra: 1054 Frec: 0 LogProb: -14.003957048580775
Palabra: 109 Frec: 0 LogProb: -14.003957048580775
Palabra: 10cent Frec: 0 LogProb: -14.003957048580775
Palabra: 10g Frec: 0 LogProb: -14.003957048580775
Palabra: 10gas Frec: 0 LogProb: -14.003957048580775
Palabra: 10gr2 Frec: 0 LogProb: -14.003957048580775
Palabra: 11 Frec: 0 LogProb: -14.003957048580775
Palabra: 11g Frec: 0 LogProb: -14.003957048580775
Palabra: 12 Frec: 0 LogProb: -14.003957048580775
Palabra: 12154 Frec: 0 LogProb: -14.003957048580775
Palabra: 1251 Frec: 0 LogProb: -14.003957048580775
Palabra: 12514 Frec: 0 LogProb: -14.003957048580775
Palabra: 12519 Frec: 0 LogProb: -14.003957048580775
Palabra: 12547 Frec: 0 LogProb: -14.003957048580775
Palabra: 12560 Frec: 0 LogProb: -14.003957048580775
Palabra: 12638 Frec: 0 LogProb: -14.003957048580775
Palabra: 127 Frec: 0 LogProb: -14.003957048580775
Palabra: 128bit Frec: 0 LogProb: -14.003957048580775
Palabra: 13 Frec: 0 LogProb: -14.003957048580775
Palabra: 13119 Frec: 0 LogProb: -14.003957048580775
Palabra: 1325 Frec: 0 LogProb: -14.003957048580775
Palabra: 13t11 Frec: 0 LogProb: -14.003957048580775
Palabra: 14 Frec: 0 LogProb: -14.003957048580775
Palabra: 14795 Frec: 0 LogProb: -14.003957048580775
Palabra: 15 Frec: 0 LogProb: -14.003957048580775
Palabra: 15min Frec: 0 LogProb: -14.003957048580775
Palabra: 16 Frec: 0 LogProb: -14.003957048580775
Palabra: 170m Frec: 0 LogProb: -14.003957048580775
Palabra: 18 Frec: 0 LogProb: -14.003957048580775
Palabra: 1900 Frec: 0 LogProb: -14.003957048580775
Palabra: 1970 Frec: 0 LogProb: -14.003957048580775
Palabra: 1d Frec: 0 LogProb: -14.003957048580775
Palabra: 1ga Frec: 0 LogProb: -14.003957048580775
Palabra: 1p Frec: 0 LogProb: -14.003957048580775
Palabra: 1s Frec: 0 LogProb: -14.003957048580775
Palabra: 1z0 Frec: 0 LogProb: -14.003957048580775
Palabra: 2 Frec: 17 LogProb: -9.834032047138463
Palabra: 20 Frec: 0 LogProb: -14.003957048580775
Palabra: 200 Frec: 0 LogProb: -14.003957048580775
Palabra: 2000 Frec: 0 LogProb: -14.003957048580775
Palabra: 2002 Frec: 0 LogProb: -14.003957048580775
Palabra: 2003 Frec: 0 LogProb: -14.003957048580775
Palabra: 2005 Frec: 0 LogProb: -14.003957048580775
Palabra: 2007 Frec: 1 LogProb: -13.003957048580775
Palabra: 2008 Frec: 0 LogProb: -14.003957048580775
Palabra: 2009 Frec: 0 LogProb: -14.003957048580775
Palabra: 2009b Frec: 0 LogProb: -14.003957048580775
Palabra: 2010 Frec: 0 LogProb: -14.003957048580775
Palabra: 2058 Frec: 0 LogProb: -14.003957048580775
Palabra: 206 Frec: 0 LogProb: -14.003957048580775
Palabra: 209px Frec: 1 LogProb: -13.003957048580775
Palabra: 2147352567 Frec: 0 LogProb: -14.003957048580775
Palabra: 23 Frec: 0 LogProb: -14.003957048580775
Palabra: 24 Frec: 0 LogProb: -14.003957048580775
Palabra: 2400 Frec: 0 LogProb: -14.003957048580775
Palabra: 25 Frec: 0 LogProb: -14.003957048580775
Palabra: 25293 Frec: 0 LogProb: -14.003957048580775
Palabra: 255 Frec: 0 LogProb: -14.003957048580775
Palabra: 266 Frec: 0 LogProb: -14.003957048580775
Palabra: 27 Frec: 0 LogProb: -14.003957048580775
Palabra: 27101 Frec: 0 LogProb: -14.003957048580775
Palabra: 28 Frec: 0 LogProb: -14.003957048580775
Palabra: 28579 Frec: 0 LogProb: -14.003957048580775
Palabra: 2b Frec: 0 LogProb: -14.003957048580775
Palabra: 2c Frec: 0 LogProb: -14.003957048580775
Palabra: 2checkout Frec: 0 LogProb: -14.003957048580775
Palabra: 2d Frec: 0 LogProb: -14.003957048580775
Palabra: 2k7 Frec: 0 LogProb: -14.003957048580775
Palabra: 2k8 Frec: 0 LogProb: -14.003957048580775
Palabra: 2n Frec: 0 LogProb: -14.003957048580775
Palabra: 2nd Frec: 0 LogProb: -14.003957048580775
Palabra: 3 Frec: 2 LogProb: -12.418994547859617
Palabra: 300 Frec: 0 LogProb: -14.003957048580775
Palabra: 301 Frec: 1 LogProb: -13.003957048580775
Palabra: 302 Frec: 0 LogProb: -14.003957048580775
Palabra: 303 Frec: 0 LogProb: -14.003957048580775
Palabra: 304 Frec: 0 LogProb: -14.003957048580775
Palabra: 30m Frec: 0 LogProb: -14.003957048580775
Palabra: 31600 Frec: 0 LogProb: -14.003957048580775
Palabra: 32 Frec: 0 LogProb: -14.003957048580775
Palabra: 3221225477 Frec: 0 LogProb: -14.003957048580775
Palabra: 32bit Frec: 0 LogProb: -14.003957048580775
Palabra: 336027900 Frec: 0 LogProb: -14.003957048580775
Palabra: 3954275 Frec: 0 LogProb: -14.003957048580775
Palabra: 3d Frec: 0 LogProb: -14.003957048580775
Palabra: 3g Frec: 0 LogProb: -14.003957048580775
Palabra: 3m Frec: 0 LogProb: -14.003957048580775
Palabra: 3rd Frec: 0 LogProb: -14.003957048580775
Palabra: 4 Frec: 1 LogProb: -13.003957048580775
Palabra: 40 Frec: 0 LogProb: -14.003957048580775
Palabra: 400 Frec: 0 LogProb: -14.003957048580775
Palabra: 4000 Frec: 0 LogProb: -14.003957048580775
Palabra: 400k Frec: 0 LogProb: -14.003957048580775
Palabra: 401 Frec: 0 LogProb: -14.003957048580775
Palabra: 403 Frec: 1 LogProb: -13.003957048580775
Palabra: 4030 Frec: 0 LogProb: -14.003957048580775
Palabra: 4031 Frec: 0 LogProb: -14.003957048580775
Palabra: 404 Frec: 14 LogProb: -10.097066452972255
Palabra: 404s Frec: 1 LogProb: -13.003957048580775
Palabra: 405 Frec: 0 LogProb: -14.003957048580775
Palabra: 408 Frec: 0 LogProb: -14.003957048580775
Palabra: 409 Frec: 0 LogProb: -14.003957048580775
Palabra: 42s02 Frec: 0 LogProb: -14.003957048580775
Palabra: 443 Frec: 0 LogProb: -14.003957048580775
Palabra: 45 Frec: 0 LogProb: -14.003957048580775
Palabra: 46 Frec: 0 LogProb: -14.003957048580775
Palabra: 47 Frec: 0 LogProb: -14.003957048580775
Palabra: 4795e Frec: 0 LogProb: -14.003957048580775
Palabra: 4gb Frec: 0 LogProb: -14.003957048580775
Palabra: 4th Frec: 0 LogProb: -14.003957048580775
Palabra: 4x Frec: 0 LogProb: -14.003957048580775
Palabra: 5 Frec: 4 LogProb: -11.682028953693411
Palabra: 50 Frec: 0 LogProb: -14.003957048580775
Palabra: 500 Frec: 0 LogProb: -14.003957048580775
Palabra: 501 Frec: 0 LogProb: -14.003957048580775
Palabra: 502 Frec: 0 LogProb: -14.003957048580775
Palabra: 503 Frec: 0 LogProb: -14.003957048580775
Palabra: 50727 Frec: 0 LogProb: -14.003957048580775
Palabra: 55 Frec: 0 LogProb: -14.003957048580775
Palabra: 563 Frec: 0 LogProb: -14.003957048580775
Palabra: 5g Frec: 0 LogProb: -14.003957048580775
Palabra: 5pm Frec: 0 LogProb: -14.003957048580775
Palabra: 6 Frec: 3 LogProb: -12.003957048580775
Palabra: 60 Frec: 0 LogProb: -14.003957048580775
Palabra: 63 Frec: 0 LogProb: -14.003957048580775
Palabra: 64 Frec: 0 LogProb: -14.003957048580775
Palabra: 643853 Frec: 0 LogProb: -14.003957048580775
Palabra: 64bit Frec: 0 LogProb: -14.003957048580775
Palabra: 64bits Frec: 0 LogProb: -14.003957048580775
Palabra: 65536 Frec: 0 LogProb: -14.003957048580775
Palabra: 6i Frec: 0 LogProb: -14.003957048580775
Palabra: 6x Frec: 0 LogProb: -14.003957048580775
Palabra: 6x6 Frec: 0 LogProb: -14.003957048580775
Palabra: 7 Frec: 5 LogProb: -11.418994547859619
Palabra: 70 Frec: 0 LogProb: -14.003957048580775
Palabra: 700 Frec: 0 LogProb: -14.003957048580775
Palabra: 701 Frec: 0 LogProb: -14.003957048580775
Palabra: 7129 Frec: 0 LogProb: -14.003957048580775
Palabra: 77 Frec: 0 LogProb: -14.003957048580775
Palabra: 777 Frec: 0 LogProb: -14.003957048580775
Palabra: 7a2e0f92 Frec: 0 LogProb: -14.003957048580775
Palabra: 8 Frec: 6 LogProb: -11.196602126523171
Palabra: 80 Frec: 0 LogProb: -14.003957048580775
Palabra: 800 Frec: 0 LogProb: -14.003957048580775
Palabra: 8000 Frec: 0 LogProb: -14.003957048580775
Palabra: 80020009 Frec: 0 LogProb: -14.003957048580775
Palabra: 8080 Frec: 0 LogProb: -14.003957048580775
Palabra: 8859 Frec: 0 LogProb: -14.003957048580775
Palabra: 8i Frec: 0 LogProb: -14.003957048580775
Palabra: 9 Frec: 4 LogProb: -11.682028953693411
Palabra: 90 Frec: 0 LogProb: -14.003957048580775
Palabra: 91 Frec: 0 LogProb: -14.003957048580775
Palabra: 95 Frec: 0 LogProb: -14.003957048580775
Palabra: 97 Frec: 0 LogProb: -14.003957048580775
Palabra: 99 Frec: 0 LogProb: -14.003957048580775
Palabra: 9am Frec: 0 LogProb: -14.003957048580775
Palabra: 9i Frec: 0 LogProb: -14.003957048580775
Palabra: _ Frec: 0 LogProb: -14.003957048580775
Palabra: ____ Frec: 0 LogProb: -14.003957048580775
Palabra: __line__ Frec: 0 LogProb: -14.003957048580775
Palabra: __module_registered Frec: 0 LogProb: -14.003957048580775
Palabra: _a3jo Frec: 0 LogProb: -14.003957048580775
Palabra: _best_ Frec: 0 LogProb: -14.003957048580775
Palabra: _class Frec: 0 LogProb: -14.003957048580775
Palabra: _dynamic_ Frec: 0 LogProb: -14.003957048580775
Palabra: _get Frec: 1 LogProb: -13.003957048580775
Palabra: _jms_text_message Frec: 0 LogProb: -14.003957048580775
Palabra: _layouts Frec: 0 LogProb: -14.003957048580775
Palabra: _main Frec: 0 LogProb: -14.003957048580775
Palabra: _menu Frec: 0 LogProb: -14.003957048580775
Palabra: _preparelayout Frec: 0 LogProb: -14.003957048580775
Palabra: _preprocess Frec: 0 LogProb: -14.003957048580775
Palabra: _redirect Frec: 0 LogProb: -14.003957048580775
Palabra: _root_ Frec: 0 LogProb: -14.003957048580775
Palabra: _server Frec: 0 LogProb: -14.003957048580775
Palabra: _session Frec: 0 LogProb: -14.003957048580775
Palabra: _svn Frec: 0 LogProb: -14.003957048580775
Palabra: a1 Frec: 0 LogProb: -14.003957048580775
Palabra: a2 Frec: 0 LogProb: -14.003957048580775
Palabra: aac Frec: 0 LogProb: -14.003957048580775
Palabra: ab Frec: 0 LogProb: -14.003957048580775
