Número de documentos(preguntas) del corpus : 997
Número de palabras del corpus: 8455
Palabra: 2c Frec: 0 LogProb: -14.243397155418775
Palabra: 2checkout Frec: 0 LogProb: -14.243397155418775
Palabra: 2d Frec: 2 LogProb: -12.658434654697617
Palabra: 2k7 Frec: 0 LogProb: -14.243397155418775
Palabra: 2k8 Frec: 0 LogProb: -14.243397155418775
Palabra: 2n Frec: 0 LogProb: -14.243397155418775
Palabra: 2nd Frec: 0 LogProb: -14.243397155418775
Palabra: 3 Frec: 1 LogProb: -13.243397155418773
Palabra: 300 Frec: 1 LogProb: -13.243397155418773
Palabra: 301 Frec: 0 LogProb: -14.243397155418775
Palabra: 302 Frec: 0 LogProb: -14.243397155418775
Palabra: 303 Frec: 0 LogProb: -14.243397155418775
Palabra: 304 Frec: 0 LogProb: -14.243397155418775
Palabra: 30m Frec: 0 LogProb: -14.243397155418775
Palabra: 31600 Frec: 0 LogProb: -14.243397155418775
Palabra: 32 Frec: 0 LogProb: -14.243397155418775
Palabra: 3221225477 Frec: 0 LogProb: -14.243397155418775
Palabra: 32bit Frec: 0 LogProb: -14.243397155418775
Palabra: 336027900 Frec: 0 LogProb: -14.243397155418775
Palabra: 3954275 Frec: 0 LogProb: -14.243397155418775
Palabra: 3d Frec: 0 LogProb: -14.243397155418775
Palabra: 3g Frec: 0 LogProb: -14.243397155418775
Palabra: 3m Frec: 0 LogProb: -14.243397155418775
Palabra: 3rd Frec: 0 LogProb: -14.243397155418775
Palabra: 4 Frec: 3 LogProb: -12.243397155418773
Palabra: 40 Frec: 0 LogProb: -14.243397155418775
Palabra: 400 Frec: 0 LogProb: -14.243397155418775
Palabra: 4000 Frec: 0 LogProb: -14.243397155418775
Palabra: 400k Frec: 0 LogProb: -14.243397155418775
Palabra: 401 Frec: 0 LogProb: -14.243397155418775
Palabra: 403 Frec: 0 LogProb: -14.243397155418775
Palabra: 4030 Frec: 0 LogProb: -14.243397155418775
Palabra: 4031 Frec: 0 LogProb: -14.243397155418775
Palabra: 404 Frec: 0 LogProb: -14.243397155418775
Palabra: 404s Frec: 0 LogProb: -14.243397155418775
