Número de documentos(preguntas) del corpus : 908
Número de palabras del corpus: 5561
Palabra: 0 Frec: 4 LogProb: -11.671629518631894
Palabra: 00 Frec: 2 LogProb: -12.408595112798103
Palabra: 000 Frec: 0 LogProb: -13.99355761351926
Palabra: 0000 Frec: 0 LogProb: -13.99355761351926
Palabra: 00237 Frec: 1 LogProb: -12.993557613519258
Palabra: 004 Frec: 0 LogProb: -13.99355761351926
Palabra: 00600 Frec: 1 LogProb: -12.993557613519258
Palabra: 009 Frec: 0 LogProb: -13.99355761351926
Palabra: 00936 Frec: 1 LogProb: -12.993557613519258
Palabra: 01 Frec: 0 LogProb: -13.99355761351926
Palabra: 01031 Frec: 1 LogProb: -12.993557613519258
Palabra: 01654 Frec: 1 LogProb: -12.993557613519258
Palabra: 01722 Frec: 1 LogProb: -12.993557613519258
Palabra: 01775 Frec: 1 LogProb: -12.993557613519258
Palabra: 01830 Frec: 1 LogProb: -12.993557613519258
Palabra: 02 Frec: 1 LogProb: -12.993557613519258
Palabra: 02287e Frec: 0 LogProb: -13.99355761351926
Palabra: 03 Frec: 0 LogProb: -13.99355761351926
Palabra: 04 Frec: 0 LogProb: -13.99355761351926
Palabra: 047 Frec: 1 LogProb: -12.993557613519258
Palabra: 05 Frec: 0 LogProb: -13.99355761351926
Palabra: 07 Frec: 0 LogProb: -13.99355761351926
Palabra: 08 Frec: 0 LogProb: -13.99355761351926
Palabra: 08177 Frec: 2 LogProb: -12.408595112798103
Palabra: 09 Frec: 0 LogProb: -13.99355761351926
Palabra: 0b Frec: 0 LogProb: -13.99355761351926
Palabra: 0kb Frec: 0 LogProb: -13.99355761351926
Palabra: 0m4 Frec: 0 LogProb: -13.99355761351926
Palabra: 0s Frec: 0 LogProb: -13.99355761351926
Palabra: 0x123456789 Frec: 0 LogProb: -13.99355761351926
Palabra: 0x18a15e0 Frec: 0 LogProb: -13.99355761351926
Palabra: 0x80000022 Frec: 0 LogProb: -13.99355761351926
Palabra: 0x80004005 Frec: 0 LogProb: -13.99355761351926
Palabra: 0x8004d024 Frec: 0 LogProb: -13.99355761351926
Palabra: 0x800a03ec Frec: 0 LogProb: -13.99355761351926
Palabra: 1 Frec: 4 LogProb: -11.671629518631894
Palabra: 10 Frec: 10 LogProb: -10.534125994881961
Palabra: 100 Frec: 0 LogProb: -13.99355761351926
Palabra: 1000 Frec: 1 LogProb: -12.993557613519258
Palabra: 1004 Frec: 0 LogProb: -13.99355761351926
Palabra: 1022868890 Frec: 0 LogProb: -13.99355761351926
Palabra: 1024hls Frec: 0 LogProb: -13.99355761351926
Palabra: 1054 Frec: 0 LogProb: -13.99355761351926
Palabra: 109 Frec: 0 LogProb: -13.99355761351926
Palabra: 10cent Frec: 0 LogProb: -13.99355761351926
Palabra: 10g Frec: 26 LogProb: -9.23867011135579
Palabra: 10gas Frec: 1 LogProb: -12.993557613519258
Palabra: 10gr2 Frec: 3 LogProb: -11.993557613519258
Palabra: 11 Frec: 2 LogProb: -12.408595112798103
Palabra: 11g Frec: 9 LogProb: -10.671629518631896
Palabra: 12 Frec: 0 LogProb: -13.99355761351926
Palabra: 12154 Frec: 3 LogProb: -11.993557613519258
Palabra: 1251 Frec: 0 LogProb: -13.99355761351926
Palabra: 12514 Frec: 1 LogProb: -12.993557613519258
Palabra: 12519 Frec: 1 LogProb: -12.993557613519258
